Installed Packages
Deployment_Guide-en-US.noarch         5.2-11                installed           
GConf2.i386                           2.14.0-9.el5          installed           
GConf2.x86_64                         2.14.0-9.el5          installed           
GConf2-devel.x86_64                   2.14.0-9.el5          installed           
ImageMagick.i386                      6.2.8.0-4.el5_1.1     installed           
ImageMagick.x86_64                    6.2.8.0-4.el5_1.1     installed           
ImageMagick-c++.x86_64                6.2.8.0-4.el5_1.1     installed           
ImageMagick-c++-devel.x86_64          6.2.8.0-4.el5_1.1     installed           
ImageMagick-devel.x86_64              6.2.8.0-4.el5_1.1     installed           
MAKEDEV.x86_64                        3.23-1.2              installed           
MySQL-python.x86_64                   1.2.1-1               installed           
NetworkManager.x86_64                 1:0.7.0-9.el5         installed           
NetworkManager-devel.x86_64           1:0.7.0-9.el5         installed           
NetworkManager-glib.x86_64            1:0.7.0-9.el5         installed           
NetworkManager-glib-devel.x86_64      1:0.7.0-9.el5         installed           
NetworkManager-gnome.x86_64           1:0.7.0-9.el5         installed           
ORBit2.i386                           2.14.3-5.el5          installed           
ORBit2.x86_64                         2.14.3-5.el5          installed           
ORBit2-devel.x86_64                   2.14.3-5.el5          installed           
OpenIPMI.x86_64                       2.0.16-5.el5_4.1      installed           
OpenIPMI-devel.x86_64                 2.0.16-5.el5_4.1      installed           
OpenIPMI-libs.x86_64                  2.0.16-5.el5_4.1      installed           
PyQt.x86_64                           3.16-4                installed           
PyQt-devel.x86_64                     3.16-4                installed           
PyXML.x86_64                          0.8.4-4.el5_4.2       installed           
SDL.x86_64                            1.2.10-8.el5          installed           
SDL-devel.x86_64                      1.2.10-8.el5          installed           
SysVinit.x86_64                       2.86-15.el5           installed           
Xaw3d.x86_64                          1.5E-10.1             installed           
Xaw3d-devel.x86_64                    1.5E-10.1             installed           
a2ps.x86_64                           4.13b-57.2.el5        installed           
acl.x86_64                            2.2.39-3.el5          installed           
acpid.x86_64                          1.0.4-9.el5_4.2       installed           
agg.x86_64                            2.4-2.1               installed           
agg-devel.x86_64                      2.4-2.1               installed           
alacarte.noarch                       0.10.0-1.fc6          installed           
alchemist.x86_64                      1.0.36-2.el5          installed           
alchemist-devel.x86_64                1.0.36-2.el5          installed           
alsa-lib.i386                         1.0.17-1.el5          installed           
alsa-lib.x86_64                       1.0.17-1.el5          installed           
alsa-lib-devel.x86_64                 1.0.17-1.el5          installed           
alsa-utils.x86_64                     1.0.17-1.el5          installed           
amanda.x86_64                         2.5.0p2-8.el5         installed           
amanda-devel.x86_64                   2.5.0p2-8.el5         installed           
amtu.x86_64                           1.0.6-1.el5           installed           
anthy.x86_64                          7900-4.el5            installed           
anthy-devel.x86_64                    7900-4.el5            installed           
antlr.x86_64                          2.7.6-4jpp.2          installed           
apr.i386                              1.2.7-11.el5_3.1      installed           
apr.x86_64                            1.2.7-11.el5_3.1      installed           
apr-devel.x86_64                      1.2.7-11.el5_3.1      installed           
apr-util.i386                         1.2.7-7.el5_3.2       installed           
apr-util.x86_64                       1.2.7-7.el5_3.2       installed           
apr-util-devel.x86_64                 1.2.7-7.el5_3.2       installed           
arts.x86_64                           8:1.5.4-1             installed           
arts-devel.x86_64                     8:1.5.4-1             installed           
aspell.i386                           12:0.60.3-7.1         installed           
aspell.x86_64                         12:0.60.3-7.1         installed           
aspell-devel.x86_64                   12:0.60.3-7.1         installed           
aspell-en.x86_64                      50:6.0-2.1            installed           
at.x86_64                             3.1.8-82.fc6          installed           
at-spi.i386                           1.7.11-3.el5          installed           
at-spi.x86_64                         1.7.11-3.el5          installed           
at-spi-devel.x86_64                   1.7.11-3.el5          installed           
atk.i386                              1.12.2-1.fc6          installed           
atk.x86_64                            1.12.2-1.fc6          installed           
atk-devel.x86_64                      1.12.2-1.fc6          installed           
attr.x86_64                           2.4.32-1.1            installed           
audiofile.i386                        1:0.2.6-5             installed           
audiofile.x86_64                      1:0.2.6-5             installed           
audiofile-devel.x86_64                1:0.2.6-5             installed           
audit.x86_64                          1.7.13-2.el5          installed           
audit-libs.i386                       1.7.13-2.el5          installed           
audit-libs.x86_64                     1.7.13-2.el5          installed           
audit-libs-devel.x86_64               1.7.13-2.el5          installed           
audit-libs-python.x86_64              1.7.13-2.el5          installed           
authconfig.x86_64                     5.3.21-6.el5          installed           
authconfig-gtk.x86_64                 5.3.21-6.el5          installed           
autoconf.noarch                       2.59-12               installed           
                                                            installed           
automake.noarch                       1.9.6-2.1             installed           
avahi.i386                            0.6.16-6.el5          installed           
avahi.x86_64                          0.6.16-6.el5          installed           
avahi-compat-howl.x86_64              0.6.16-6.el5          installed           
avahi-compat-howl-devel.x86_64        0.6.16-6.el5          installed           
avahi-compat-libdns_sd.x86_64         0.6.16-6.el5          installed           
avahi-compat-libdns_sd-devel.x86_64   0.6.16-6.el5          installed           
avahi-devel.x86_64                    0.6.16-6.el5          installed           
avahi-glib.i386                       0.6.16-6.el5          installed           
avahi-glib.x86_64                     0.6.16-6.el5          installed           
avahi-glib-devel.x86_64               0.6.16-6.el5          installed           
avahi-qt3.x86_64                      0.6.16-6.el5          installed           
avahi-qt3-devel.x86_64                0.6.16-6.el5          installed           
